,date,rooms,area_size,floor,price,year,city
307,18/1/2021,4.0,119.0,5.0,1,2020.0,נהריה
308,17/1/2021,5.0,137.0,,1,2015.0,נהריה
309,17/1/2021,5.0,137.0,2.0,1,2015.0,נהריה
310,17/1/2021,3.0,75.0,3.0,625,1960.0,נהריה
311,17/1/2021,3.0,75.0,,625,1960.0,נהריה
312,14/1/2021,4.0,109.0,,1,2019.0,נהריה
313,14/1/2021,4.0,100.0,,1,2021.0,נהריה
314,14/1/2021,5.0,131.0,,961,2020.0,נהריה
315,14/1/2021,5.0,131.0,2.0,961,2020.0,נהריה
316,14/1/2021,4.0,100.0,3.0,1,2021.0,נהריה
317,14/1/2021,4.0,109.0,1.0,1,2019.0,נהריה
318,14/1/2021,5.0,122.0,1.0,1,2020.0,נהריה
319,14/1/2021,5.0,122.0,,1,2020.0,נהריה
320,13/1/2021,3.0,84.0,3.0,751,2020.0,נהריה
321,13/1/2021,3.0,84.0,,751,2020.0,נהריה
322,12/1/2021,5.0,180.0,6.0,1,2020.0,נהריה
323,12/1/2021,5.0,126.0,,1,2020.0,נהריה
324,12/1/2021,3.0,89.0,,755,2020.0,נהריה
325,12/1/2021,5.0,126.0,3.0,1,2020.0,נהריה
326,12/1/2021,3.0,89.0,6.0,755,2020.0,נהריה
327,12/1/2021,5.0,180.0,,1,2020.0,נהריה
328,11/1/2021,5.0,127.0,,1,2020.0,נהריה
329,11/1/2021,5.0,127.0,12.0,1,2020.0,נהריה
330,11/1/2021,4.0,123.0,,1,2020.0,נהריה
331,10/1/2021,3.0,84.0,2.0,750,2020.0,נהריה
332,10/1/2021,3.0,84.0,,750,2020.0,נהריה
333,07/1/2021,3.0,84.0,2.0,750,2020.0,נהריה
334,07/1/2021,5.0,118.0,,1,2020.0,נהריה
335,07/1/2021,4.0,120.0,,1,2021.0,נהריה
336,07/1/2021,5.0,118.0,3.0,1,2020.0,נהריה
337,07/1/2021,3.0,84.0,,750,2020.0,נהריה
